date,homeTeam,awayTeam,homeScore,awayScore
2024-03-02T00:00:00Z,Luton,Aston Villa,2,3
2024-03-03T00:00:00Z,Burnley,Bournemouth,0,2
2024-03-03T00:00:00Z,Man City,Man United,3,1
2024-03-04T00:00:00Z,Sheffield United,Arsenal,0,6
2024-03-09T00:00:00Z,Man United,Everton,2,0
2024-03-09T00:00:00Z,Bournemouth,Sheffield United,2,2
2024-03-09T00:00:00Z,Crystal Palace,Luton,1,1
2024-03-09T00:00:00Z,Wolves,Fulham,2,1
2024-03-09T00:00:00Z,Arsenal,Brentford,2,1
2024-03-10T00:00:00Z,Aston Villa,Tottenham,0,4
2024-03-10T00:00:00Z,Brighton,Nott'm Forest,1,0
2024-03-10T00:00:00Z,West Ham,Burnley,2,2
2024-03-10T00:00:00Z,Liverpool,Man City,1,1
2024-03-11T00:00:00Z,Chelsea,Newcastle,3,2
2024-03-13T00:00:00Z,Bournemouth,Luton,4,3
2024-03-16T00:00:00Z,Burnley,Brentford,2,1
2024-03-16T00:00:00Z,Luton,Nott'm Forest,1,1
2024-03-16T00:00:00Z,Fulham,Tottenham,3,0
2024-03-17T00:00:00Z,West Ham,Aston Villa,1,1
2024-03-30T00:00:00Z,Newcastle,West Ham,4,3
2024-03-30T00:00:00Z,Bournemouth,Everton,2,1
2024-03-30T00:00:00Z,Chelsea,Burnley,2,2
2024-03-30T00:00:00Z,Nott'm Forest,Crystal Palace,1,1
2024-03-30T00:00:00Z,Sheffield United,Fulham,3,3
2024-03-30T00:00:00Z,Tottenham,Luton,2,1
2024-03-30T00:00:00Z,Aston Villa,Wolves,2,0
2024-03-30T00:00:00Z,Brentford,Man United,1,1
2024-03-31T00:00:00Z,Liverpool,Brighton,2,1
2024-03-31T00:00:00Z,Man City,Arsenal,0,0
2024-04-02T00:00:00Z,Newcastle,Everton,1,1
2024-04-02T00:00:00Z,Nott'm Forest,Fulham,3,1
2024-04-02T00:00:00Z,Bournemouth,Crystal Palace,1,0
2024-04-02T00:00:00Z,Burnley,Wolves,1,1
2024-04-02T00:00:00Z,West Ham,Tottenham,1,1
2024-04-03T00:00:00Z,Arsenal,Luton,2,0
2024-04-03T00:00:00Z,Brentford,Brighton,0,0
2024-04-03T00:00:00Z,Man City,Aston Villa,4,1
2024-04-04T00:00:00Z,Liverpool,Sheffield United,3,1
2024-04-04T00:00:00Z,Chelsea,Man United,4,3
2024-04-06T00:00:00Z,Crystal Palace,Man City,2,4
2024-04-06T00:00:00Z,Aston Villa,Brentford,3,3
2024-04-06T00:00:00Z,Everton,Burnley,1,0
2024-04-06T00:00:00Z,Fulham,Newcastle,0,1
2024-04-06T00:00:00Z,Luton,Bournemouth,2,1
2024-04-06T00:00:00Z,Wolves,West Ham,1,2
2024-04-06T00:00:00Z,Brighton,Arsenal,0,3
2024-04-07T00:00:00Z,Man United,Liverpool,2,2
2024-04-07T00:00:00Z,Sheffield United,Chelsea,2,2
2024-04-07T00:00:00Z,Tottenham,Nott'm Forest,3,1
2024-04-13T00:00:00Z,Newcastle,Tottenham,4,0
2024-04-13T00:00:00Z,Brentford,Sheffield United,2,0
2024-04-13T00:00:00Z,Burnley,Brighton,1,1
2024-04-13T00:00:00Z,Man City,Luton,5,1
2024-04-13T00:00:00Z,Nott'm Forest,Wolves,2,2
2024-04-13T00:00:00Z,Bournemouth,Man United,2,2
2024-04-14T00:00:00Z,Liverpool,Crystal Palace,0,1
2024-04-14T00:00:00Z,West Ham,Fulham,0,2
2024-04-14T00:00:00Z,Arsenal,Aston Villa,0,2
2024-04-15T00:00:00Z,Chelsea,Everton,6,0
2024-04-20T00:00:00Z,Luton,Brentford,1,5
2024-04-20T00:00:00Z,Sheffield United,Burnley,1,4
2024-04-20T00:00:00Z,Wolves,Arsenal,0,2
2024-04-21T00:00:00Z,Everton,Nott'm Forest,2,0
2024-04-21T00:00:00Z,Aston Villa,Bournemouth,3,1
